O 선거 종류,O 선거 횟수,O 투표일,O 선거구,O 전체유권자수,O 투표자 수,O 투표율,O 정당명,O 후보자명,O 득표수
국회의원선거,19,20120411,종로구,141697,80981,0.5715,새누리당,홍사덕,36641
국회의원선거,19,20120411,종로구,141697,80981,0.5715,민주통합당,정세균,41732
국회의원선거,19,20120411,종로구,141697,80981,0.5715,국민의 힘,김준수,153
국회의원선거,19,20120411,종로구,141697,80981,0.5715,국민행복당,홍성훈,177
국회의원선거,19,20120411,종로구,141697,80981,0.5715,불교연합당,정재복,68
국회의원선거,19,20120411,종로구,141697,80981,0.5715,진보신당,최백순,687
국회의원선거,19,20120411,종로구,141697,80981,0.5715,무소속,류승구,209
국회의원선거,19,20120411,종로구,141697,80981,0.5715,무소속,서맹종,173
국회의원선거,19,20120411,중구,115376,62798,0.5443,새누리당,정진석,28904
국회의원선거,19,20120411,중구,115376,62798,0.5443,민주통합당,정호준,31364
국회의원선거,19,20120411,중구,115376,62798,0.5443,국민생각,장준영,1120
국회의원선거,19,20120411,중구,115376,62798,0.5443,청년당,오정익,1000
국회의원선거,19,20120411,용산구,207240,107681,0.5196,새누리당,진영,56067
국회의원선거,19,20120411,용산구,207240,107681,0.5196,민주통합당,조순용,49083
국회의원선거,19,20120411,용산구,207240,107681,0.5196,국민행복당,이희정,1776
국회의원선거,19,20120411,성동구갑,132369,72897,0.5507,새누리당,김태기,34639
국회의원선거,19,20120411,성동구갑,132369,72897,0.5507,민주통합당,최재천,37656
국회의원선거,19,20120411,성동구을,115990,64022,0.552,새누리당,김동성,31076
국회의원선거,19,20120411,성동구을,115990,64022,0.552,민주통합당,홍익표,31564
국회의원선거,19,20120411,성동구을,115990,64022,0.552,창조한국당,서정민,916
국회의원선거,19,20120411,광진구갑,150634,85519,0.5677,새누리당,정송학,37902
국회의원선거,19,20120411,광진구갑,150634,85519,0.5677,민주통합당,김한길,44334
국회의원선거,19,20120411,광진구갑,150634,85519,0.5677,무소속,김용,2840
국회의원선거,19,20120411,광진구을,155196,83797,0.5399,새누리당,정준길,32456
국회의원선거,19,20120411,광진구을,155196,83797,0.5399,민주통합당,추미애,45980
국회의원선거,19,20120411,광진구을,155196,83797,0.5399,자유선진당,김홍준,1168
국회의원선거,19,20120411,광진구을,155196,83797,0.5399,무소속,길기연,3707
국회의원선거,19,20120411,동대문구갑,164396,87348,0.5313,새누리당,허용범,39473
국회의원선거,19,20120411,동대문구갑,164396,87348,0.5313,민주통합당,안규백,41993
국회의원선거,19,20120411,동대문구갑,164396,87348,0.5313,국민생각,윤지현,1242
국회의원선거,19,20120411,동대문구갑,164396,87348,0.5313,무소속,조광한,4039
국회의원선거,19,20120411,동대문구을,140616,81700,0.581,새누리당,홍준표,36182
국회의원선거,19,20120411,동대문구을,140616,81700,0.581,민주통합당,민병두,42960
국회의원선거,19,20120411,동대문구을,140616,81700,0.581,정통민주당,정병걸,852
국회의원선거,19,20120411,동대문구을,140616,81700,0.581,무소속,김재전,1238
국회의원선거,19,20120411,중랑구갑,163898,83413,0.5089,새누리당,김정,19647
국회의원선거,19,20120411,중랑구갑,163898,83413,0.5089,민주통합당,서영교,33891
국회의원선거,19,20120411,중랑구갑,163898,83413,0.5089,무소속,강경환,2193
국회의원선거,19,20120411,중랑구갑,163898,83413,0.5089,무소속,유정현,18989
국회의원선거,19,20120411,중랑구갑,163898,83413,0.5089,무소속,이상수,8115
국회의원선거,19,20120411,중랑구을,184587,99973,0.5416,새누리당,강동호,43358
국회의원선거,19,20120411,중랑구을,184587,99973,0.5416,민주통합당,박홍근,44212
국회의원선거,19,20120411,중랑구을,184587,99973,0.5416,국민행복당,윤정호,741
국회의원선거,19,20120411,중랑구을,184587,99973,0.5416,정통민주당,김덕규,5606
국회의원선거,19,20120411,중랑구을,184587,99973,0.5416,무소속,이경태,1152
국회의원선거,19,20120411,중랑구을,184587,99973,0.5416,무소속,진성호,4288
국회의원선거,19,20120411,성북구갑,200755,107914,0.5375,민주통합당,유승희,54057
국회의원선거,19,20120411,성북구갑,200755,107914,0.5375,국민생각,강승규,3067
국회의원선거,19,20120411,성북구갑,200755,107914,0.5375,미래연합,최덕찬,1095
국회의원선거,19,20120411,성북구갑,200755,107914,0.5375,무소속,정태근,47234
국회의원선거,19,20120411,성북구을,195678,105239,0.5378,새누리당,서찬교,47879
국회의원선거,19,20120411,성북구을,195678,105239,0.5378,민주통합당,신계륜,56177
국회의원선거,19,20120411,강북구갑,140378,72107,0.5137,새누리당,정양석,32098
국회의원선거,19,20120411,강북구갑,140378,72107,0.5137,민주통합당,오영식,37352
국회의원선거,19,20120411,강북구갑,140378,72107,0.5137,진보신당,김일웅,2086
국회의원선거,19,20120411,강북구을,146336,75876,0.5185,새누리당,안홍렬,32009
국회의원선거,19,20120411,강북구을,146336,75876,0.5185,민주통합당,유대운,40755
국회의원선거,19,20120411,강북구을,146336,75876,0.5185,국민생각,홍성남,2441
국회의원선거,19,20120411,도봉구갑,142229,78644,0.5529,새누리당,유경희,31361
국회의원선거,19,20120411,도봉구갑,142229,78644,0.5529,민주통합당,인재근,45682
